path,mask_id,start_frame,end_frame,fps,video_inpainting_prompt,image_inpainting_prompt,type
000000000091_853720.mp4,20,648,2066,29,"A military helicopter hovers above an outdoor training facility, its rotors in motion, with dust rising from the ground. The facility features concrete walls and barriers, set against a backdrop of mountains under a clear sky. The helicopter, with a dark gray camouflage pattern, is seen again hovering above the facility, now with a clear sky and distant mountains. Its rotors blur as it prepares for landing or takeoff, with a solitary figure visible inside, suggesting operational activity. The scene is devoid of people, emphasizing the helicopter's solitary presence in a remote, possibly tropical environment.",Helicopter viewed from underneath.,objects
000000000626_854628.mp4,2,116,1199,29,"A honeybee, adorned with yellow and black stripes, is seen foraging on the vibrant purple petals of a flower, likely an aster, amidst a lush garden setting. The scene is tranquil, with soft-focus greenery and a wooden edge enhancing the serene atmosphere. As time passes, the bee continues its pollination efforts on the same flower, surrounded by a cluster of similar blooms, against a backdrop of soft green grass and subtle brown foliage. The natural light highlights the intricate details of the bee's body and the vivid colors of the flowers, creating a peaceful tableau of nature's daily ballet.",Purple flower with yellow center and green leaves.,objects
000000000957_855231.mp4,1,322,781,23,"An orange fruit is seen hanging from a tree branch, its vibrant orange color standing out against the green leaves and the clear blue sky. The scene is bathed in sunlight, casting a warm glow that highlights the fruit's texture and the leaves' freshness. As time passes, the sunlight continues to bathe the scene, emphasizing the fruit's ripe condition and the lush green leaves that surround it. The tranquil atmosphere is accentuated by the gentle interplay of light and shadow, showcasing the fruit's natural beauty and the serene environment.",Ripe orange hanging from a branch with green leaves.,objects
000000001523_856207.mp4,2,600,1099,25,"A white tourist boat named 'Cologne' cruises along a calm river, passing by a stone wall and a mix of modern and traditional buildings under a clear sky. The boat, with red and blue accents and a blue flag, is filled with passengers enjoying the view. As it continues, the boat, now identified with 'Rhein' and red lifebuoys, moves under a clear sky, with a stone embankment and a blend of modern and traditional architecture in the background. The scene is peaceful, with no other boats or people in sight, highlighting the boat's solitary journey through the urban landscape.","A white riverboat named ""COLONIA 6"" with multiple windows, a top deck with seating, and lifebuoys along the side.",objects
000000003654_1730394.mp4,3,400,1149,25,"Palm trees sway in the wind against a cloudy sky. Initially, three palm trees are seen with their fronds caught mid-blow, standing tall and leaning towards the left, with a solitary leafless tree in the foreground. As time passes, the scene remains consistent with the palm trees' dynamic movement and the leafless tree's presence, emphasizing the natural beauty and serenity of the environment. The overcast sky, filled with soft white clouds, suggests a calm yet lively atmosphere, possibly indicating an impending storm or a gentle breeze. The video captures the tranquil yet dynamic essence of nature.",A tall palm tree with green fronds blowing to the right.,objects
000000000824_854945.mp4,1,0,485,25,"A monkey sits serenely on the grass, its fur a blend of golden brown and white. The scene is set in a natural, possibly wild habitat with a backdrop of trees and a clear blue sky. The monkey appears in a state of quiet contemplation, its gaze directed off to the side, and its posture relaxed yet poised. The surrounding area is a mix of green grass and autumn leaves, adding a seasonal touch to the tranquil setting. The monkey's thoughtful expression and the stillness of its surroundings evoke a sense of peaceful solitude.","A large monkey with brown and gray fur sits on grass, facing slightly to the right.",human
000000000942_855202.mp4,1,0,499,25,"Five horses with coats ranging from dark brown to golden tan are seen grazing in a lush green field. The scene is set against a backdrop of dense greenery and a clear blue sky, creating a serene and untouched natural environment. As time passes, the number of horses grazing in the field reduces to four, maintaining the tranquil and undisturbed atmosphere. The sunlight highlights the vibrant colors of the horses' coats and the green grass, emphasizing the peacefulness of the rural setting.",A brown horse grazing on grass.,human
000000000011_852286.mp4,2,0,869,29,"A sailboat with a white sail, marked with the number '14', glides across a calm sea towards the horizon, where the sun sets, casting a golden glow. The sky transitions from blue to orange, with contrails from airplanes visible. As the boat continues, the scene shifts to show the sailboat with the number '21' on its sail, moving towards the setting sun. The sky is painted in soft blues and oranges, with the calm sea reflecting the fading light. A distant shoreline with buildings and trees is visible, suggesting a peaceful evening near a coastal town.",Sunset over the horizon with contrails in the sky and a distant silhouetted structure.,landscape
000000001073_855400.mp4,2,0,869,29,"A small boat sails on the calm sea at sunset, its silhouette highlighted against the vibrant sky. The horizon is adorned with a faint outline of land or another vessel, adding depth to the tranquil scene. As the sun sets, the sky transitions from orange and pink to cool blues and purples, reflecting off the water's surface. The boat, equipped with a mast and radar dome, suggests a journey or search in progress. The serene atmosphere is emphasized by the absence of other vessels or people, with the scene's peaceful solitude accentuated by the soft glow of the setting sun.",A boat on calm waters.,landscape
000000001130_855471.mp4,3,240,839,30,"A white and green lighthouse stands on a rocky jetty, overseeing the tranquil turquoise waters of a coastal city. The lighthouse, with its cylindrical structure and lantern room, is a beacon amidst the serene sea. The clear blue sky, dotted with distant wind turbines, suggests a peaceful day. As time passes, the scene remains largely unchanged, emphasizing the lighthouse's role as a silent sentinel. The calm sea, the absence of people or boats, and the distant city skyline hint at the bustling life beyond the tranquil maritime scene.","Ocean scene with blue water, small waves, and rocky shore.",landscape
000000003026_1396928.mp4,1,0,1149,23,"Aerial view of st johns bridge in portland, oregon","A suspension bridge with green towers and cables, with vehicles on the roadway, and buildings in the background.",landscape
000000003660_1739010.mp4,2,0,562,29," The video features a stunning coastal landscape with red and white cliffs descending to a sandy beach. Initially, the cliffs are shown with a few individuals and parked vehicles, indicating some human presence. As the video continues, the scene includes a wooden walkway leading to a gathering point, with more vehicles and people engaging in various activities. The beach is lively, with people walking, swimming, and relaxing under a thatched-roof structure. The backdrop of the ocean is a mix of blue and green, with gentle waves lapping at the shore.",Shoreline with gentle waves on a clear blue sea and sandy beach.,landscape
000000003798_1826643.mp4,1,0,459,23,"A tranquil seascape unfolds under a dramatic sky, showcasing two lighthouses on stone breakwaters amidst calm waters. The sun, nearing the horizon, bathes the scene in a golden glow, reflecting off the sea and creating a shimmering path. The sky, painted with strokes of blue and white, adds to the serene atmosphere. As time passes, the sun's descent continues, casting a radiant path across the water, with the lighthouses standing as silent sentinels. The scene is devoid of human activity, emphasizing the solitude and peacefulness of the natural world at dusk.","Calm ocean with a lighthouse on a breakwater and a buoy, under a setting or rising sun reflecting on the water.",landscape
000000000430_854212.mp4,3,0,689,23,"The video features the Sydney Opera House at sunset, with its sail-like silhouette set against a sky transitioning from warm orange to cool blue. The serene harbor waters reflect the fading light, and a lone bird in flight adds a sense of movement to the tranquil scene. The surrounding cityscape, including the Harbour Bridge, is softly lit, enhancing the peaceful atmosphere. As time passes, the sky's gradient deepens, and the distant city lights begin to twinkle, suggesting the onset of night. The video captures the essence of a calm evening in one of the world's most iconic cities.",Calm water with ripples reflecting sky with hues of blue and orange near the horizon.,random
000000000599_854557.mp4,1,0,463,29,"A tranquil waterfall gently flows over a rocky ledge, with the water's movement creating a dynamic contrast against the stillness of the surrounding stones. The scene is serene, highlighted by the soft lighting that enhances the textures and colors of the environment. As the waterfall continues its journey, it flows over a stair-like formation of weathered grey rocks, with the water's white froth contrasting against the muted greys and browns of the stones. The soft lighting enhances the peaceful atmosphere, and a Chinese inscription in the upper right corner suggests a cultural or location-specific context.",Waterfall with cascading water.,random
000000002620_1257863.mp4,2,0,899,30,"A lantern with a candle inside is placed on a wooden pier, creating a serene atmosphere as the setting sun casts a warm glow over the scene. The calm sea reflects the sky's changing colors, from orange to blue, while palm trees and a hillside with buildings are silhouetted against the fading light. The scene is peaceful, with the lantern's handle hanging ready for use, and the distant shoreline lined with palm trees and buildings, suggesting a coastal setting. The tranquil waters and the soft lighting evoke a sense of peaceful solitude.","Columns framing a serene body of water with gentle ripples, reflecting a sunset sky.",random
